"","FM_STRCP","FM_TYPE","FM_STRP","TELN_FLG","CURWRKN","TELCELN","FLNGINTV","F10DVYN","FDMEDYN","FHCDVYN","FHCHMYN","FHCPHRYN","FHOSP2YN","FNMEDYN","FSRUNOUT","FSLAST","FSBALANC","FLAADLYN","FLIADLYN","FWKLIMYN","FWALKYN","FREMEMYN","FANYLYN","HOUSEOWN","FSNAP","INCGRP4","INCGRP5","FSALYN","FSEINCYN","FSSRRYN","FPENSYN","FOPENSYN","FSSIYN","FTANFYN","FOWBENYN","FINTR1YN","FDIVDYN","FCHSPYN","FINCOTYN","FSSAPLYN","FSDAPLYN","FMEDBILL","FMEDBPAY","FSAF","FHICOVYN"
"1",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1
"2",31,3,31,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"3",11,1,11,1,2,1,1,2,2,2,2,2,1,2,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"5",11,1,11,1,1,2,1,2,2,1,2,1,2,2,3,3,3,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1
"7",41,4,41,1,2,1,1,1,2,1,2,1,1,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1
"8",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1
"10",11,1,11,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"11",21,2,21,1,1,1,1,2,2,1,2,1,2,2,3,3,3,1,2,2,2,2,1,1,2,3,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1
"12",32,3,32,1,1,1,1,2,2,1,2,1,2,2,3,3,3,2,2,2,2,2,2,2,2,5,4,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"13",21,2,21,1,2,1,1,2,2,2,2,2,1,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"16",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"17",21,2,21,1,1,2,1,1,2,1,2,2,2,2,3,3,3,2,2,1,2,2,1,1,2,5,4,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1
"18",21,2,21,1,1,1,1,1,2,1,2,2,1,2,3,3,3,2,2,1,2,2,1,1,2,4,3,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1
"19",44,4,44,1,2,2,1,2,2,2,2,2,2,2,3,3,3,1,1,1,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1
"20",11,1,11,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1
"21",21,2,21,1,1,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1
"22",41,4,41,1,1,1,1,2,2,1,2,2,1,2,3,3,3,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1
"23",11,1,11,1,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1
"24",23,2,23,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"25",12,1,12,1,2,2,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"26",12,1,12,1,2,2,1,2,1,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"28",44,4,44,1,1,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"29",44,4,44,1,2,1,1,2,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"30",12,1,12,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"31",12,1,12,1,2,2,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,4,3,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1
"32",21,2,21,1,2,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"33",11,1,11,1,2,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1
"34",21,2,21,1,1,1,1,1,2,1,2,1,1,2,3,3,3,1,1,1,1,2,1,1,2,4,3,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1
"35",11,1,11,1,2,1,1,2,2,1,2,1,2,2,3,3,3,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
"36",11,1,11,1,2,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"37",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"39",21,2,21,1,2,2,1,2,2,1,2,2,1,2,1,2,3,1,2,1,2,2,1,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1
