Period,Sale
1/1/1992,164095
2/1/1992,164213
3/1/1992,163721
4/1/1992,164709
5/1/1992,165612
6/1/1992,166077
7/1/1992,167257
8/1/1992,167800
9/1/1992,169400
10/1/1992,170625
11/1/1992,171003
12/1/1992,173105
1/1/1993,175108
2/1/1993,173744
3/1/1993,172306
4/1/1993,176749
5/1/1993,178426
6/1/1993,178157
7/1/1993,180743
8/1/1993,180707
9/1/1993,181773
10/1/1993,182884
11/1/1993,184747
12/1/1993,186399
1/1/1994,185142
2/1/1994,188074
3/1/1994,191579
4/1/1994,191639
5/1/1994,190929
6/1/1994,193130
7/1/1994,193743
8/1/1994,196163
9/1/1994,197765
10/1/1994,199571
11/1/1994,199731
12/1/1994,200702
1/1/1995,201573
2/1/1995,198399
3/1/1995,200247
4/1/1995,201032
5/1/1995,202986
6/1/1995,205500
7/1/1995,204920
8/1/1995,206521
9/1/1995,207006
10/1/1995,206176
11/1/1995,208664
12/1/1995,210399
1/1/1996,208699
2/1/1996,212008
3/1/1996,213891
4/1/1996,214676
5/1/1996,216299
6/1/1996,216068
7/1/1996,216332
8/1/1996,216358
9/1/1996,219256
10/1/1996,221060
11/1/1996,220963
12/1/1996,221991
1/1/1997,223481
2/1/1997,225422
3/1/1997,226161
4/1/1997,224615
5/1/1997,222929
6/1/1997,226057
7/1/1997,228703
8/1/1997,229309
9/1/1997,230312
10/1/1997,229836
11/1/1997,230440
12/1/1997,231181
1/1/1998,231587
2/1/1998,231684
3/1/1998,233083
4/1/1998,235986
5/1/1998,237075
6/1/1998,238971
7/1/1998,237411
8/1/1998,236379
9/1/1998,238550
10/1/1998,242549
11/1/1998,244291
12/1/1998,246530
1/1/1999,246868
2/1/1999,249520
3/1/1999,250667
4/1/1999,252477
5/1/1999,254735
6/1/1999,255449
7/1/1999,257456
8/1/1999,260230
9/1/1999,261317
10/1/1999,261818
11/1/1999,264965
12/1/1999,269863
1/1/2000,268044
2/1/2000,272020
3/1/2000,275192
4/1/2000,271046
5/1/2000,271394
6/1/2000,273422
7/1/2000,272630
8/1/2000,272918
9/1/2000,277548
10/1/2000,276927
11/1/2000,276029
12/1/2000,275791
1/1/2001,278834
2/1/2001,278773
3/1/2001,276450
4/1/2001,280808
5/1/2001,281496
6/1/2001,280401
7/1/2001,279504
8/1/2001,281413
9/1/2001,276084
10/1/2001,294540
11/1/2001,287111
12/1/2001,283705
1/1/2002,283508
2/1/2002,285054
3/1/2002,284262
4/1/2002,288833
5/1/2002,284951
6/1/2002,287372
7/1/2002,290385
8/1/2002,292650
9/1/2002,288410
10/1/2002,289576
11/1/2002,291484
12/1/2002,293947
1/1/2003,295248
2/1/2003,291167
3/1/2003,296325
4/1/2003,295600
5/1/2003,296410
6/1/2003,299626
7/1/2003,302747
8/1/2003,307809
9/1/2003,305933
10/1/2003,304809
11/1/2003,308527
12/1/2003,307407
1/1/2004,309254
2/1/2004,311393
3/1/2004,316912
4/1/2004,313512
5/1/2004,318964
6/1/2004,314958
7/1/2004,318549
8/1/2004,318977
9/1/2004,324569
10/1/2004,326740
11/1/2004,327836
12/1/2004,331874
1/1/2005,328696
2/1/2005,333026
3/1/2005,333581
4/1/2005,336583
5/1/2005,334522
6/1/2005,343998
7/1/2005,346576
8/1/2005,343307
9/1/2005,343956
10/1/2005,344097
11/1/2005,347325
12/1/2005,347405
1/1/2006,357331
2/1/2006,354706
3/1/2006,355665
4/1/2006,357423
5/1/2006,356704
6/1/2006,357879
7/1/2006,359006
8/1/2006,360691
9/1/2006,358961
10/1/2006,358462
11/1/2006,359266
12/1/2006,363730
1/1/2007,363616
2/1/2007,364006
3/1/2007,367158
4/1/2007,366187
5/1/2007,370934
6/1/2007,368154
7/1/2007,369614
8/1/2007,371358
9/1/2007,372869
