Period,Sale
1/1/1992,146376
2/1/1992,147079
3/1/1992,159336
4/1/1992,163669
5/1/1992,170068
6/1/1992,168663
7/1/1992,169890
8/1/1992,170364
9/1/1992,164617
10/1/1992,173655
11/1/1992,171547
12/1/1992,208838
1/1/1993,153221
2/1/1993,150087
3/1/1993,170439
4/1/1993,176456
5/1/1993,182231
6/1/1993,181535
7/1/1993,183682
8/1/1993,183318
9/1/1993,177406
10/1/1993,182737
11/1/1993,187443
12/1/1993,224540
1/1/1994,161349
2/1/1994,162841
3/1/1994,192319
4/1/1994,189569
5/1/1994,194927
6/1/1994,197946
7/1/1994,193355
8/1/1994,202388
9/1/1994,193954
10/1/1994,197956
11/1/1994,202520
12/1/1994,241111
1/1/1995,175344
2/1/1995,172138
3/1/1995,201279
4/1/1995,196039
5/1/1995,210478
6/1/1995,211844
7/1/1995,203411
8/1/1995,214248
9/1/1995,202122
10/1/1995,204044
11/1/1995,212190
12/1/1995,247491
1/1/1996,185019
2/1/1996,192380
3/1/1996,212110
4/1/1996,211718
5/1/1996,226936
6/1/1996,217511
7/1/1996,218111
8/1/1996,226062
9/1/1996,209250
10/1/1996,222663
11/1/1996,223953
12/1/1996,258081
1/1/1997,200389
2/1/1997,197556
3/1/1997,225133
4/1/1997,220329
5/1/1997,234190
6/1/1997,227365
7/1/1997,231521
8/1/1997,235252
9/1/1997,222807
10/1/1997,232251
11/1/1997,228284
12/1/1997,271054
1/1/1998,207853
2/1/1998,203863
3/1/1998,230313
4/1/1998,234503
5/1/1998,245027
6/1/1998,244067
7/1/1998,241431
8/1/1998,240462
9/1/1998,231243
10/1/1998,244234
11/1/1998,240991
12/1/1998,288969
1/1/1999,218126
2/1/1999,220650
3/1/1999,253550
4/1/1999,250783
5/1/1999,262113
6/1/1999,260918
7/1/1999,262051
8/1/1999,265089
9/1/1999,253905
10/1/1999,258040
11/1/1999,264106
12/1/1999,317659
1/1/2000,236422
2/1/2000,250580
3/1/2000,279515
4/1/2000,264417
5/1/2000,283706
6/1/2000,281288
7/1/2000,271146
8/1/2000,283944
9/1/2000,269155
10/1/2000,270899
11/1/2000,276507
12/1/2000,319958
1/1/2001,250746
2/1/2001,247772
3/1/2001,280449
4/1/2001,274925
5/1/2001,296013
6/1/2001,287881
7/1/2001,279098
8/1/2001,294763
9/1/2001,261924
10/1/2001,291596
11/1/2001,287537
12/1/2001,326202
1/1/2002,255598
2/1/2002,253086
3/1/2002,285261
4/1/2002,284747
5/1/2002,300402
6/1/2002,288854
7/1/2002,295433
8/1/2002,307256
9/1/2002,273189
10/1/2002,287540
11/1/2002,290705
12/1/2002,337006
1/1/2003,268328
2/1/2003,259051
3/1/2003,293693
4/1/2003,294251
5/1/2003,312389
6/1/2003,300998
7/1/2003,309923
8/1/2003,317056
9/1/2003,293890
10/1/2003,304036
11/1/2003,301265
12/1/2003,357577
1/1/2004,281460
2/1/2004,282444
3/1/2004,319077
4/1/2004,315191
5/1/2004,328408
6/1/2004,321044
7/1/2004,328000
8/1/2004,326317
9/1/2004,313524
10/1/2004,319726
11/1/2004,324259
12/1/2004,387155
1/1/2005,293261
2/1/2005,295062
3/1/2005,339141
4/1/2005,335632
5/1/2005,345348
6/1/2005,350945
7/1/2005,351827
8/1/2005,355701
9/1/2005,333289
10/1/2005,336134
11/1/2005,343798
12/1/2005,405608
1/1/2006,318546
2/1/2006,314051
3/1/2006,361993
4/1/2006,351667
5/1/2006,373560
6/1/2006,366615
7/1/2006,362203
8/1/2006,375795
9/1/2006,346214
10/1/2006,348796
11/1/2006,356928
12/1/2006,417991
1/1/2007,328877
2/1/2007,323162
3/1/2007,374142
4/1/2007,358535
5/1/2007,391512
6/1/2007,376639
7/1/2007,372354
8/1/2007,388016
9/1/2007,353936
10/1/2007,368681
11/1/2007,377802
12/1/2007,426077
1/1/2008,342639
2/1/2008,343893
3/1/2008,372907
4/1/2008,368920
5/1/2008,397956
6/1/2008,378507
7/1/2008,383726
8/1/2008,382862
9/1/2008,350542
10/1/2008,349847
11/1/2008,335545
12/1/2008,384236
1/1/2009,310188
2/1/2009,299412
3/1/2009,328526
4/1/2009,329854
5/1/2009,347728
6/1/2009,344405
7/1/2009,348071
8/1/2009,353392
9/1/2009,324646
10/1/2009,338610
11/1/2009,339363
12/1/2009,400281
1/1/2010,314557
2/1/2010,310925
3/1/2010,360679
4/1/2010,356333
5/1/2010,365605
6/1/2010,358604
7/1/2010,361939
8/1/2010,362627
9/1/2010,345999
10/1/2010,355209
11/1/2010,365828
12/1/2010,426663
1/1/2011,335587
2/1/2011,337314
3/1/2011,387088
4/1/2011,380775
5/1/2011,391999
6/1/2011,388700
7/1/2011,384682
8/1/2011,394609
9/1/2011,375025
10/1/2011,379482
11/1/2011,391220
12/1/2011,451821
1/1/2012,355184
2/1/2012,372401
3/1/2012,414149
4/1/2012,392949
5/1/2012,418608
6/1/2012,400975
7/1/2012,396026
8/1/2012,417922
9/1/2012,385609
10/1/2012,399400
11/1/2012,411065
12/1/2012,462102
1/1/2013,375590
2/1/2013,373987
3/1/2013,421717
4/1/2013,408538
5/1/2013,437182
6/1/2013,414704
7/1/2013,422403
8/1/2013,435000
9/1/2013,396211
10/1/2013,415719
11/1/2013,423787
12/1/2013,476925
1/1/2014,383344
2/1/2014,380219
3/1/2014,432831
4/1/2014,431517
5/1/2014,459276
6/1/2014,433324
7/1/2014,443272
8/1/2014,451320
9/1/2014,421342
10/1/2014,438345
11/1/2014,438931
12/1/2014,501935
1/1/2015,397986
2/1/2015,388019
3/1/2015,445908
4/1/2015,439546
5/1/2015,464697
6/1/2015,449729
7/1/2015,459508
8/1/2015,457896
9/1/2015,432763
10/1/2015,446633
11/1/2015,446745
12/1/2015,520057
1/1/2016,402257
2/1/2016,415446
3/1/2016,461668
4/1/2016,451944
5/1/2016,470958
6/1/2016,465445
7/1/2016,462727
8/1/2016,472466
9/1/2016,449184
10/1/2016,453569
11/1/2016,468145
12/1/2016,541092
1/1/2017,422128
2/1/2017,418602
3/1/2017,483895
4/1/2017,467082
5/1/2017,496410
6/1/2017,483338
7/1/2017,476983
8/1/2017,492031
9/1/2017,471043
10/1/2017,477592
11/1/2017,499833
12/1/2017,561418
1/1/2018,444738
2/1/2018,437520
3/1/2018,511626
4/1/2018,483951
5/1/2018,531011
6/1/2018,511348
7/1/2018,508776
8/1/2018,524577
9/1/2018,481862
10/1/2018,506963
11/1/2018,524525
12/1/2018,569523
