case_id,week,popwght,state,dma,nielsen,countyc,metro,region,division,ownhome,mstatus,emply,hhcomp,adults,adultm,adultf,kids1217,kids611,kids06,di22a1,di22a2,di22a3,di22a4,di22a5,di22b1,di22b2,di22b3,di22b4,di22b5,di22c1,di22c2,di22c3,di22c4,di22c5,parent,age,age2,educ,income,race,affilrot,polaffil,d3rot,d3_a,regvote,othtel,sex,reli1,ident,l1,l2a,c1,c2,c1a,qnco1,qnco3,healask,heal1,heal2,heal3,heal4,heal5,heal6,heal7,heal8,heal9_1,heal9_2,heal9_3,heal9_4,heal9min,heal9hr,heal10_1,heal10_2,heal10_3,heal10_4,heal10min,heal10hr,heal11,heal12,heal13,heal14,heal15,heal16,heal17,heal18,heal19,heal20,heal21,ha22v1,heal22,heal23,heal24,heal25,heal26,ha27rot,heal27a,heal27b,heal27c,heal27d,heal27e,heal27f,heal27g,heal28,heal29,heal30,heal31,ha32rot,heal32a,heal32b,heal32c,heal32d,heal33a,heal33b,heal33c,heal33d,heal33e,heal33f,heal33g,heal34,heal35,heal36,ha37rot,heal37a,heal37b,heal37c,heal37d,heal37e,heal37f,heal37g,heal38,heal39,heal40,heal41,heal42,heal43,heal44,heal45,heal46,heal47,heal48,heal49,heal50_01,heal50_02,heal50_03,heal50_04,heal50_05,heal50_06,heal50_07,heal50_08,heal50_09,heal50_10,heal50_11,heal50_12,heal50_13,heal50_14,heal50_15,heal50_16,heal50_17,heal51,heal52,heal53,ha54rot,heal54,ha55rot,ha55rot2,heal55a,heal55b,heal55c,heal55d,heal55e,heal55f,heal55g,heal55h,heal56,heal57,heal58,bmi
10000021,607,0.2889, , ,C, ,2,3, ,1,5,3,2,2,2,0, , , , , , , , , , , , , , , , , , ,2,64, ,6,2,2,1,2,1,3,1,1,1,1,1,1,2, , ,2, , ,2,3,20,10,3,1,1,1,0,0,0,0,0, , ,0,1,0,0, ,1,2,3,2,4,2,1,1,2,1,1,1,3,1,1,1, ,2,CBFDEGA,1,1,1,1,2,2,2,1,1,1,2,BACD,2,2,2,2,2,2,1,2,1,1,2, , ,1,AFCGBED,2,2,1,2,1,1,1,3,2,3,1, ,2,1,4,1,1,1,1, , , , , , , , , , , , , , , , , , , ,4,2,1,2,FCEHDABG,2,2,2,2,2,2,2,2,3,2,1,28.1
10000031,607,0.2879, , ,B, ,2,3, ,1,1,1,1,1,1,0, , , , , , , , , , , , , , , , , , ,2,52, ,3,8,3,1,2,1,5,1,0,1,2,1,1,2, , ,1,1, ,3,3,0,2,3,2,3, ,1,1,0,0,0,30, ,0,1,0,0, ,1,2,2,2,4,1,2,1,1,1,1,1,2,1,2,2, ,2,CDFEABG,2,2,2,2,2,2,1,1,2,2, ,DCBA,2,2,2,2,1,2,2,2,2,2,2, , ,1,CDBEGFA,2,2,2,2,2,2,2,4,2,1,1, ,5,1,2,2,2,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,1,1,3,2,EBFGHCAD,2,2,2,2,2,2,3,2,3,1, ,48.7
10000032,607,0.2458, , ,A, ,2,4, ,2,1,3,1,1,0,1, , , , , , , , , , , , , , , , , , ,2,66, ,2,1,3,4,2,1,2,1,0,2,2,1,1,1, , ,1,1, ,3,3,15,0,3,2,3, ,4,0,1,0,0, ,1,1,0,0,0,10, ,1,3,2,4,1,1,1,1,1,1,1,4,1,2,1, ,2,FGBCEAD,2,2,2,2,2,2,2,1,2,2, ,BACD,2,2,2,2,2,2,1,2,2,2,2, , ,1,CFDAGEB,1,2,2,2,2,2,2,1,2,1,1, ,4,3,4,1,2,2, ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2, ,5,2,2,1,EACDGFHB,2,3,8,3,3,3,3,3,3,2,1,25.5
10000034,607,0.3697, , ,A, ,4,1, ,2,1,2,9,9, , , , , , , , , , , , , , , , , , , , ,2,18, ,1,1,2,4,3,1,3,2,1,2,22,1,1,2, , ,1, , ,2,2,8,20,2,2,3, ,1,0,1,0,0, ,1,1,0,0,0,1, ,1,1,2,4,1,2,1,1,1, ,1,1,1,2,2,8,2,GDECABF,2,2,2,2,2,2,2,1,2,1,1,CDBA,8,8,8,2,8,8,2,2,2,2,1, , ,1,FGBCEDA,1,1,8,1,8,2,1,2,2,2,1, ,5,4,1,2,4,2, ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2, ,9,1,2,2,DFCGAHBE,8,3,8,8,3,8,3,1,3,2,1,20.5
10000039,607,0.4815, , ,C, ,1,3, ,1,3,1,3,2,1,1,1,0,0,16, , , , , , , , , , , , , , ,1,48, ,3,6,4,4,2,2,4,1,0,2,22,1,1,1, , ,1,1, ,3,3,0,4,3,1,1,1,0,0,0,0,0, , ,0,1,0,0, ,1,2,2,2,4,1,1,1,2,1,2,1,2,2,1,2, ,2,DBECAFG,1,1,2,2,2,2,1,1,2,1,2,BCAD,2,2,2,2,1,2,2,2,2,2,2, , ,1,CDGEFAB,2,2,2,2,2,2,2,3,2,1,1, ,3,1,3,2,4,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,1,2,3,1,FHEACDBG,2,2,2,2,2,2,2,2,3,2,1,99.9
10000041,809,0.1262, , ,A, ,1,1, ,2,1,5,3,2,1,1,1,0,0,14, , , , , , , , , , , , , , ,2,19, ,2,1,4,2,3,1,4,1,1,1,90,1,1,3, , ,0,1, ,3,4,0,2,3,2,3, ,2,0,1,0,0, ,1,1,0,0,0,40, ,2,2,2,4,2,2,1,2,2, ,2,1,1,1,2,2,2,CFBAEGD,2,2,1,2,2,2,1,2, ,2, ,BCAD,2,3,3,2,2,2,2,1,2,2,2, , ,1,AGFEBCD,2,2,2,2,2,2,2,2,2,2,1, ,1,3,4,4,4,2, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, ,1,1,1,2,BCFDHGAE,1,2,1,1,2,1,2,2,2,2,1,19.4
10000056,809,0.3325, , ,B, ,2,4, ,1,3,6,2,2,1,1, , , , , , , , , , , , , , , , , , ,2,50, ,1,5,3,3,3,1,3,2,0,2,2,3,2, , , , ,3,30,3,1,0,0,3,2,3, ,7,0,1,0,0, ,2,1,0,0,0,10, ,1,5,2,4,1,1,1,1,1,2,2,2,1,2,1, ,2,EABGFCD,2,2,2,2,2,2,2,1,1,1,2,BADC,2,2,2,2,1,2,1,2,2,1,1, , ,1,ACFBEGD,2,1,2,1,2,1,2,1,2,1,1, ,3,3,4,1,1,2, ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2, ,2,1,1,1,HABDFCEG,1,1,1,1,1,1,1,1,3,1, ,27.5
10000076,607,0.1116, , ,A, ,3,1, ,2,5,3,1,1,0,1, , , , , , , , , , , , , , , , , , ,2,76, ,2,9,2,3,2,2,8,1,0,2,1,1,1,3, , ,8, , ,2,5,15,15,2,8,3, ,4,0,1,0,0, ,1,0,0,1,0, , ,2,3,1,4,1,2,1,2,1,2,2,4,1,1,2, ,2,ECFBGDA,1,8,8,1,1,2,2,1,3,8, ,ABCD,9,2,2,1,2,2,2,2,2,2,2,1, , ,BAFDCGE,2,2,2,2,1,2,2,1,2,2,1, ,8,4,4,4,4,2, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,2,1,1,FBEDHGCA,1,1,1,1,1,2,8,9,7,8,1,99.9
10000076,809,0.3922, , ,C, ,1,3, ,1,3,3,2,2,1,1, , , , , , , , , , , , , , , , , , ,2,79, ,2,3,3,1,3,1,3,1,1,1,2,1,1,3, , ,1,1, ,3,4,0,0,3,1,3, ,7,1,0,0,0,15, ,1,0,0,0,5, ,2,2,2,4,2,2,1,2,1,1,1,4,1,2,1, ,1,GFAEDCB,1,1,2,2,2,2,2,1,2,1,1,DBCA,2,2,2,2,2,2,1,2,1,2,2, , ,1,GACEDFB,2,2,2,2,2,2,2,3,2,1,1, ,3,3,2,1,1,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,3,1,3,1,DBFCHEGA,2,2,2,2,2,3,2,2,3,1, ,32.9
10000080,809,0.3043, , ,D, ,5,4, ,2,1,6,3,2,0,2,0,0,1, , , , , , , , , , ,98, , , , ,1,39, ,3,1,3,4,2,1,2,1,0,2,2,1,2, , , , ,1, ,3,4,0,0,3,2,3, ,3,1,0,0,0,30, ,1,0,0,0,45, ,1,4,1,2,2,1,1,1,1, ,1,1,1,1,1, ,1,CEFDGAB,1,2,2,2,2,1,1,1,2,1,2,ABCD,2,2,2,2,2,2,2,1,2,2,2, , ,1,DECBAGF,1,1,2,1,2,2,2,3,2,1,1, ,2,4,4,4,4,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,5,1,3,2,EFCDGBAH,2,2,2,2,2,2,2,2,2,2,1,45.8
